Target Name,Other name,DR3,Planet ID,RA (deg),DEC (deg),dRA (mas/yr),dDEC (mas/yr),Epoch,J_mag,Number of Visits,IsAPlanet?,Period (days),P_sig,T_mid (BJD),T0_sig,T_dur (hours),T_obs (hours),T_tot (hours),VISDA Cadence,NIRDA Cadence,Priority,Program ID,Contact Person,Observational Constraints (if any),Comments,AUX Team Validated?
HD 209458,,,b,330.052992,18.884319,29.766,-17.976,J2000,6.591,10,Yes,3.52474859,3.8E-07,0.3429948798,8.7E-05,2.3,,,10s / 9 ROI (default),default,1,Famous Planets,J. Rowe,Needs consecutive transits,Somewhat famous planet,Yes
KIC 8462852,Tabby's star,,,300.104292,4.456886,-10.375,-10.273,J2000,10.763,-1,No,,,,,,,,,,2,Exotic-Stars,J. Rowe,,Eruptive Variable,
HD 189733,,,,,,,,,,,,,,,,,,,,,2,Famous Planets,J. Rowe,,,
GJ 411,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2095,,,0.03,285.636524,75.418514,203.44,-21.3176,J2000,9.797,-1,drop,,,,,4.7,,,,,2,TOI-2095 TTVs,E. Gilbert,,"Candidate planet, discovery paper in prep per TESS wiki",
TOI-2095,,,b,285.636524,75.418514,203.44,-21.3176,J2000,9.797,-1,,17.664872,5.1E-05,2459646.704,0.0012,2.72,5,,,,2,TOI-2095 TTVs,E. Gilbert,,,
TOI-2095,,,c,285.636524,75.418514,203.44,-21.3176,J2000,9.797,-1,,28.1722,0.00014,2459662.146,0.002,3.12,,,,,2,TOI-2095 TTVs,E. Gilbert,,,
TOI-700,,,b,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,9.97702,0.00024,2458490.987,0.0027,,,,,,2,TOI-700-TTVs,E. Gilbert,July 23 == TOI-700 bonanza,,
TOI-700,,,c,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,16.05111,6.2E-05,2458548.753,0.0005,,,,,,1,TOI-700-TTVs,E. Gilbert,also atmospheres,,
TOI-700,,,e,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,27.80968976,0.00015413604,2458353,0.0056658,,,,,,2,TOI-700-TTVs,E. Gilbert,,,
TOI-700,,,d,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,37.42368383,0.00014945505,2458330.486,0.00401265,,,,,,2,TOI-700-TTVs,E. Gilbert,,,
TOI-700,,,,97.095717,-65.578615,-102.75,161.805,J2000,9.469,-1,,,,,,,,,,,1,TOI-700-general,E. Gilbert,,,Entered as General Program
WOW (Positive Horn),,,,291.37917,-26.95,0,0,J2000,,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,These are likely blank fields,,These are likely blank fields
WOW (Positive Horn),,,,292.09167,-26.95,0,0,J2000,,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,These are likely blank fields,,These are likely blank fields
AU Mic,,,,311.2897187,-31.34089941,281.319,-360.148,J2000,5.43599987,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
Proxima,,,,217.4289422,-62.67949019,-3781.741,769.465,J2000,5.356999874,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
EV Lac,,,,341.7072136,44.33399288,-706.216,-458.92,J2000,6.105999947,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
Wolf 359,,,,164.1205036,7.014723135,-3866.338,-2699.215,J2000,7.085000038,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,
EQ Peg,,,,352.9674124,19.93726403,554.64,-60.43,J2000,7.446,-1,,,,,,,,,,,3,Flare-Stars,E. Gilbert,,,I band magnitude provided
YZ CMi,,,,116.1673846,3.552465341,-347.782,-445.702,J2000,6.580999851,-1,,,,Add DR3 identification,,,,,,,3,Flare-Stars,E. Gilbert,,,
Barnard's Star,,,,269.452077,4.693364967,-801.551,10362.394,J2000,5.243999958,-1,,,,Adding more bright exoplanet hosts,, ,,,,,3,Flare-Stars,E. Gilbert,,,
HD 101065,Przybylski's Star,,,174.4043373,-46.7096883,-46.673,34.193,J2000,7.110000134,-1,,,,Adding SPARCS,, ,,,,,3,Exotic-Stars,J. Rowe,,Przybylski's Star,
HD 37519,Andrews' Star,,,85.14961392,31.35819952,-5.014,-7.671,J2000,5.776000023,-1,,,,Cycle-4 JWST,,,,,,,3,Exotic-Stars,J. Rowe,,Andrews' Star,
HD 95735,Lalande 21185,,,165.8341451,35.96988227,-580.057,-4776.589,J2000,4.199999809,-1,,,,check for duplicates,,,,,,,3,Exotic-Stars,J. Rowe,,Lalande 21185,
BD+44 2051,Gliese 412,,,166.3690706,43.52677415,-4406.469,938.527,J2000,5.538000107,-1,,,,TOI-700 banana day,,,,,,,3,Exotic-Stars,J. Rowe,,M-star binary,
HD 215441,,,,341.0312698,55.58922528,4.523,-1.244,J2000,8.598999977,-1,,,,actual time needed (min needed),,,,,,,3,Exotic-Stars,J. Rowe,,Magnetic Star,
61 Cygni A,,,,316.7247483,38.74941732,4164.209,3249.614,J2000,3.119999886,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,binary G star,
HD 125823,,,,215.759328,-39.51181793,-24.421,-20.696,J2000,4.929999828,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,He variable,
HD 30353,KS Persei,,,72.22228175,43.27557964,1.6,-1.781,J2000,6.465000153,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,KS Persei,
HD 127617,,,,217.9981573,18.76686954,-0.542,-13.822,J2000,8.907999992,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Be variable,
HD 50169,,,,102.9967835,-1.644553366,-5.421,-0.409,J2000,8.901000023,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Magnetic Star,
HD 6090,,,,15.07907761,-72.7432813,35.409,0.563,J2000,9.229000092,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,flare star,
SDSS J102915.14+172927.9,UCAC3 215-112497,,,157.3131208,17.49109017,-10.72,-3.921,J2000,15.51000023,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Ultra metal poor star,
HD 184738,,,,293.688474,30.51637518,-2.251,-8.807,J2000,9.305999756,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Wolf Rayet / PN,
BD-16 251,,,,22.3797131,-16.01263759,11.738,-42.787,J2000,10.05300045,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Metal poor star,
RU Lupi,,,,239.1762953,-37.82096499,-11.457,-23.211,J2000,8.732000351,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,T-Tauri star,
IM Lupi,,,,239.0383611,-37.93503503,-12.059,-23.727,J2000,8.782999992,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,YSO,
R Leporis,,,,74.90145288,-14.80625069,6.679,-1.263,J2000,2.140000105,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,variable C-star,
HD 304043,,,,169.0008519,-57.54765975,-2468.407,1184.175,J2000,7.81099987,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,M3.5 dwarf,
HD 33793,Kapteyn's Star,,,77.91912433,-45.01843382,6491.223,-5708.614,J2000,5.821000099,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Kapteyn's Star,
HD 188136,,,,300.882267,-78.83074927,1.902,-8.861,J2000,7.245999813,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,,
HD 114762,Latham's star,,,198.0822545,17.51711954,-580.999,1.062,J2000,6.144999981,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,F-dwarf + BD (Latham's star),
GJ 273,,,,111.852079,5.225789303,571.232,-3691.487,J2000,5.714000225,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,M-dwarf + RV planets,
AO Cassiopeiae,,,,4.429430472,51.4330879,-2.988,-2.374,J2000,6.282999992,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,O binary,
V733 Cephei,,,,343.3885746,62.53989705,-0.433,-2.214,J2000,10.84799957,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,FU Orionis,
HR 2422,Plaskett's Star,,,99.35017536,6.135380307,-2.07,1.226,J2000,5.827000141,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Plaskett's Star,
HD 124448,,,,213.7442886,-46.28869281,-6.544,-0.049,J2000,10.10599995,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,He star,
V4334 Sagittarii,,,,268.136223,-17.68556,0,0,J2000,11.55500031,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Sakurai's Object,
SS Cygni,,,,325.6783477,43.5860744,112.385,33.315,J2000,10.02999973,-1,,,,,,,,,,,3,Exotic-Stars,J. Rowe,,Eruptive variable,
